Sl. No.,Name of Company & Address (Email),Name of the Representative,Telephone No,Web Address
136,"Reckitt Benckiser (Bangladesh) LtdPlot # 2(B), Block-SEC, Road # 138, Gulshan-1, Dhaka-1212E-mail:tanzim.rezwan@rb.com,shibbirul.haque@rb.com",Syed Tanzim Rezwan,9887209,-
137,"Rephco Pharmaceuticals Ltd33/C Dilu Road, New Eskaton, Dhaka-1000E-mail:nasirul.rephco@gmail.com,rllbarisal@gmail.com",Mr. Nasirul Alam,01713-198363,-
138,"Reman Drug Laboratories Ltd395 New Eskaton Road, Dhaka-1000E-mail:reman.drug@yahoo.com,reman.serafin@gmail.com",Mr. Serefin Murmu,"02-41032971-4
01778-744932",-
139,"Rasa Pharmaceuticals LtdHouse # 435, Road # 30, New DOHS, Mohakhali, Dhaka-1206E-mail:rasa@mail.bangla.net",Mr. M Raihan Gofur,"9881213
8828013",-
140,"Rangs Pharmaceuticals Ltd.Rangs Bhaban (Level-5), 117/A Old Airport Road, Bijoy Sarani, Tejgaon, Dhaka-1215E-mail:sohana@lushsg.com,info@rangspharma.net",Ms. Sohana Rouf Chowdhury,0248112245,-
141,"Reliance Pharmaceuticals Ltd.6/4 Humayun Road (3rd floor), Mohammadpur, Dhaka-1207E-mail:reliancepharma.rpl@hotmail.com,latifbd1962@yahoo.com",Mr. Md. Abdul Latif,--,Visit Website
142,"Radiant Pharmaceuticals LimitedSKS Tower (7th & 8th Floor), 7 VIP Road, Mohakhali, Dhaka-1206E-mail:info.pharma@radiant.com.bd",Mr. Md. Nasser Shahrear Zahedee,55058520,Visit Website
143,"Square Pharmaceuticals PLCSquare Centre, 48 Mohakhali CA, Dhaka-1212E-mail:verlin@squaregroup.com,arif@squaregroup.com,andaleeb@squaregroup.com",Mr. Tapan Chowdhury,"222295007
8833047-56",Visit Website
144,"Square Pharmaceuticals Ltd. (Chemical Division)Square Centre, 48 Mohakhali CA, Dhaka-1212E-mail:verlin@squaregroup.com,arif@squaregroup.com,andaleeb@squaregroup.com",Mr. Md. Mizanur Rahman,"222295007
8833047-56",Visit Website
145,"Synovia Pharma PLC6/2/A Segunbagicha, Ramna, Dhaka-1000E-mail:rra@bpl.net,info@synoviapharma.com",Mr. S M Rabbur Reza,58611001-7,Visit Website
146,"Seema Pharmaceuticals LtdHouse # 193/A, Lane-1, Eastern Road, New DOHS, Mohakhali, Dhaka-1206E-mail:iqbaltapu@hotmail.com",Mr. AKM Iqbal Hossain,"9887838
9860606
8816510",-
147,"Somatec Pharmaceuticals Ltd28/B Segunbagicha, Dhaka-1000E-mail:gm@somatecpharmabd.com,hrd@somatecpharmabd.com",Mr. Syed Rafiqur Rahim,"9337667
9357827",Visit Website
148,"Salton Pharmaceuticals Ltd42/43 Fahima Tower (5th Floor), Purana Paltan, Dhaka-1000E-mail:mdmamun86mail@gmail.com,saltonpharma1984@gmail.com",Mr. Md. Sahajalal Bhuiyan,---,-
149,"Silva Pharmaceuticals Ltd.65 Dhanmondi RA, Road # 8/A, Dhaka-1209E-mail:hmirza@silvapharma.com",Mr. A R Hassan Mirza,"8129915
9146009",-
150,"Silco Pharmaceuticals Ltd.BSCIC Industrial Estate, Khadimnagar, Sylhet-3103E-mail:silco.sylhet@yahoo.com",Dr. Badrul Haque Rukan,"0821-2870448
722241
9570982-Dk",-
151,"Supreme Pharmaceuticals Ltd6/7 Block-E, Lalmatia, Dhaka-1207E-mail:spl@supreme.com.bd",Mr. Muhammad Shams-ul-Huda,58155540,-
152,"SMC Enterprise Ltd.SMC Tower, 33 Banani C/A, Dhaka-1213E-mail:Smc.corp@smc-bd.org,sayef.nasir@smc-bd.org",Mr. Sayef Uddin Nasir,022222275074-80,Visit Website
153,"Sharif Pharmaceuticals Ltd.Sharif Plaza, House # 15/C, Road # 15 (New), Dhanmondi RA, Dhaka-1209E-mail:info@sharifpharma.com",Mr. Md. Rajjab Sharif,"9124615
9124694
9124734",Visit Website
154,"Sun Pharmaceutical (Bangladesh) Ltd.Police Plaza Concord (Tower-B, 14th Floor), Gulshan-01, Dhaka-1212E-mail:humayun.kabir@sunpharma.com",Mr. Md. Humayun Kabir,55045001-2,Visit Website
155,"Super Power Pharmaceuticals Ltd.134/2 North Basabo, Sabujbag, Dhaka-1214E-mail:superpowerpharma@gmail.com",Mr. S.M. Anisur Rahman,02-9449172,Visit Website
156,"Techno Drugs Ltd.31 Segunbagicha, Dhaka-1000E-mail:techno_drugs@hotmail.com",Mr. Shah Jalal Uddin Ahmed,8355821,-
157,"Therapeutics (Bangladesh) Ltd12 Mohakhali CA (2nd floor), Dhaka-1212E-mail:-",Mr. Md. Mesbahul Hoque,9880605,-
158,"Team Pharmaceuticals LtdOff: 29 Kawran Bazar, Dhaka-1215 (Fact: B75-B79 BSCIC Industrial Estate, Sapura, Rajshahi)E-mail:wahab@teampharmabd.com",Mr. Md. Abdul Wahab,55013915-17,-
159,"Unique Pharmaceuticals Ltd154 Mitford Rd (2nd floor), Dhaka-1100E-mail:-",Mr. Md. Khalid Abdullah,"7312114
7313983",-
160,"United Chemicals & Pharmaceuticals Ltd.33E, FIDC Road, Kalurghat, ChittagongE-mail:unitedcp@spctnet.com",Dr. M Ramizuddin Chowdhury,"650035
9332657-Dk",-
161,"UniMed UniHealth Pharmaceuticals Limited660 Washpur, PO: Shyamlapur, PS: Hazaribagh, Dhaka-1310E-mail:mmh.unigroup@gmail.com,mosaddek.hossain@unigroup-bd.com",Mr. M Mosaddek Hossain,09666226677,Visit Website
162,"UniMed Unihealth Fine Chemicals LimitedRangs Nasim Square (6th Floor), House # 46, Road # 16, Sheikh Kamal Saroni, Dhanmondi, Dhaka-1209E-mail:nazmul.hossain@unigroup-bd.com",Mr. Nazmul Hossain,09666226677,Visit Website
163,"Union Pharmaceuticals Ltd41/7 Zikatola (1st floor) Moulovi Md. Saleq Road, Dhaka-1209E-mail:info@unionpharma-bd.net",Mr. Md. Shaihidul Islam,8626180,-
164,"Virgo Pharmaceuticals Ltd.House # 178, Road # 02, DOHS, Baridhara, Dhaka-1206E-mail:shafayet@virgo.com.bd",Syed Nafiz Nazrul Raiyan,"8410674
8411904
8412856",-
165,"Veritas Pharmaceuticals LimitedHouse # 77 (Level-5), Road # 04, Block-C, Banani, Dhaka-1213E-mail:info@veritaspharmabd.com",Ms. Sharita Millat,"9871908-9
9871996",Visit Website
166,"The White Horse Pharmaceuticals Ltd68 Dilkusha CA (6th floor), Dhaka-1000E-mail:headoffice@whorse.com,whpheadoffice@gmail.com",Mr. Sk. Mohammad Arif,"9563096
9571910",-
167,"Ziska Pharmaceuticals LtdGreen City Edge, 89 Kakrail CA (2nd, 3rd & 9th floor), Dhaka-1000E-mail:aminul@ziskapharma.com",Mr. Aminul Islam Khan,"9333991
9359641",Visit Website
168,"Zaman Pharmaceuticals Ltd7/1 Eskaton Rd. Ghaws Nagar, Dhaka-1000E-mail:-",Mr. Mahmuduzzaman Khan,9884607,-
169,"Zenith Pharmaceuticals Ltd1 RK Mission Road, Ittefaq Bhaban, 4/B (4th Floor), Dhaka-1203E-mail:zenithpharma200@gmail.com",Dr. Belal Uddin Ahmed,"02223350178
01907783312",-
