Company Name,Membership Number,Member Status,Contact Person,Company Address,Factory Address,Phone,Fax,Email,Website,Products,Detail URL
Sova Trims Ltd.,1731,Active,"Tapas Karmaker, Managing Director","88/3, Naya Paltan, Gr. Floor, Dhaka","Rainadi, Haizadi, Araihazar, Narayanganj","04478076019, 01819254605, 01819219679",,tapask40@gmail.com,,"Double Demy BI, Double Demy Sing, Demy Bi Color, Demy Single Color, PP Poly Bag, Woven Label, Printed Label",https://www.bgapmea.org/index.php/member/member_details/1377
T & M Interlining Manufacturing Co. Ltd.,909,Active,"Yuezong Li, Managing Director","House # 24, Road # 04, Sector # 04 Uttara, Dhaka","Vangnahati, Sreepur, Gazipur","7913046, 01755604075",7913048,sales@tm-interlining.com,,Interlining.,https://www.bgapmea.org/index.php/member/member_details/776
Fatema Accessories Ind. Ltd.,1632,Active,"Mr.Gias Uddin , Director","80-C12, North Jatrabari, Abdur Rahamn Centre, Dhaka-1232","640, Bamoiil, West Para, Sharulia, Demra, Dhaka-1362",01711907243,,"fatemaacc8@gmail.com, giasuddin_1969@yahoo.com",www.fatemaaccessories.com,Elastic,https://www.bgapmea.org/index.php/member/member_details/1275
IP Global Ind. Ltd.,1808,Active,"Moinul Islam Khan, Managing Director","Al Amin Icon Centre (5th floor), 57/4, Pragoti Sarani, Gulshan, Dhaka-1212","Boro Narayanpur, Amta, Dhamri, Dhaka","8411840-41, 01711931143",,"ipgil@citech.net, khanmoinul@hotmail.com",,"Padding, Quilting, PSF, Matress, Wall Tiles",https://www.bgapmea.org/index.php/member/member_details/1446
Khyaati Leather Innovations BD Ltd.,1748,Active,"Mr. Rajesh Satyapal Uppal, Director","Flat No. 5ª, House No. 531/5, Lance No-11, Baridhara DOHS, Dhaka.","Holding # 909, ward # 6, Mohalla-Barpa, P.O.: Rupsi, P.S.:Rupgonj, Narayanganj.",01613952874,,rajokhyaatimfgco.com,,"Leather Back Patch, Paper Back Patch, Pu Back Patch.",https://www.bgapmea.org/index.php/member/member_details/1398
East-Asia Accessories Co. Ltd.,529,Active,"Mr. Mohiuddin Ahmed, Chairman","6, South Khapara Road, North Auuchpara, Tongi, Gazipur","Gasa, Ward # 36, Gazipur City Corporation, Gazipur","9815916, 9815917, 01711544930, 01912117807",,eastasiathread@yahoo.com,,"Sewing Thread, Drawstring/ Draw Cord Elastic Cord, Printed Label.",https://www.bgapmea.org/index.php/member/member_details/190
Immo Printing & Packaging.,1782,Active,"Md. Osman Ghani, Managing Partner","121, Thulthulia, Demra, Dhaka-1360","121, Thulthulia, Demra, Dhaka-1360","01768549795, 0191108323",,"immobd@gmail.com, info@immotrims.com,",www.immotrims.com,Printing & Packaging,https://www.bgapmea.org/index.php/member/member_details/1424
Harbis Converting Ltd.,1939,Active,"Mohammad Belal, Managing Director","House # 106, Road # 2 (Gha), Block-C, Sugandha R/A, Panchlaish, Chattogram","1 No. South Pahartali, Fateabad, Hathazari, Chattogram",01711533018,,belal@mb-traders.com,,Converting,https://www.bgapmea.org/index.php/member/member_details/1579
Trim-Fit Bangladesh Ltd.,1817,Active,"Belal Hossain, Managing Director","145, Monipuri Para, Airport Road Super Market (1st floor), Room # 413, Tejgaon, Dhaka-1215","Gouripur, Ashulia, Savar, Dhaka","48116558, 01777 862508",,trimfit.bd@gmail.com,,"All kinds of Garments Poly Bag, Print & Non-print PP, LD, BOPP, Blister",https://www.bgapmea.org/index.php/member/member_details/1466
Namirah Manufacturing Industries,1756,Active,"Kamrun Nahar Lipi, Managing Partner","1073/1406,Pranharidas Road, South Kattali, Pahartali, Chattogram","1073/1406,Pranharidas Road, South Kattali, Pahartali, Chattogram",01710522903,,namirahmanufacturing@gmail.com,,"PP, LDP, LLDPE bag, NeckBoard, Neck Board, Paper Band, Hang Tag, Price Tag, Gum Tape, Elastic Lace, Grawstring, Draw Cord",https://www.bgapmea.org/index.php/member/member_details/1392
Maps Thread Ltd.,1441,Active,"Kazi Saiful Haque , Managing Director","Holding #126, Block # 03, Road # 01, Ward-02, Sreekhandia, Ashulia, Savar, Dhaka","Holding #126, Block # 03, Road # 01, Ward-02, Sreekhandia, Ashulia, Savar, Dhaka","01616007004, 01671007004",,mapsthreadltd@gmail.com,www.mapsthreadltd.com,Sewing Thread,https://www.bgapmea.org/index.php/member/member_details/1079
Megabox Limited.,2122,Active,"Md. Didar Alam, Director","44/9, North Chasara, Narayanganj","Dasergaon, Musapur Union, Bandor, Narayanganj",01916223375,,didarsarkar@gmail.com,,"Carton Box, Poly, Hang tag, Care Label, Gum Tape",https://www.bgapmea.org/index.php/member/member_details/1749
Paragon Enterprise,1980,Active,"Mohammed Ishmam, Proprietor","Ayub Trade Center (5th floor), 1269/B, SK Mujib Road, Agrabad C/A, Chattogram-4100","Mahamudabad, South Pahartali, Fatehabad, Hathazari, Chattogram","031-2511789, 01788774545",,ishmam1996@gmail.com,,"Poly, Hanger, Paper Band, Back Board, Price Tag, Hang Tag, Photo Inlay, Tissue Paper, Gum Tape, Printed Label etc.",https://www.bgapmea.org/index.php/member/member_details/1617
Sparkle Packaging Industries Ltd.,1280,Active,"Mr. Md. Firoz Uddin , Managing Partner","39/E, Sagorica Road (Near Stadium), Custom Academy, Phartali, Chattogram.","39/E, Sagorica Road (Near Stadium), Custom Academy, Phartali, Chattogram.",031-751460,,arif@sparklepackaging.com,,"Sticker, label, Gum Tape, Plastic Products, All kinds of Packing",https://www.bgapmea.org/index.php/member/member_details/916
S. N Accessories,1811,Active,"Md. Shamsul Alam, Proprietor","1085/B, Ward No. 44, Chamurkhan, Uttarkhan, Dhaka","1085/B, Ward No. 44, Chamurkhan, Uttarkhan, Dhaka","01313765454, 01715317282",,"snabdesh@gmail.com, shopon@snaccessoriesbd.com",,"Elastic, Twill Tape, Drawstring, Rib tape etc.",https://www.bgapmea.org/index.php/member/member_details/1448
Taj Accessories (Pvt.) Ltd.,722,Active,"Bazal Ahmed, Managing Director","129, Jublee Road (1st Floor), Chattogram","28/C-2, Heavy Industrial Estate, Kalurghat, Chattogram","031-671658, 01819310392",,tajapl@asiatelnet.com,www.tajapl.com,"Corrugated Carton, Back Board, Neck Board, Tissue Paper, Printed Poly Bag, BOPP Bag, Woven Label, Elastic, Non Elastic Band, Gum Tape, Hanger.",https://www.bgapmea.org/index.php/member/member_details/780
Rainbow Printing Complex Pvt. Ltd.,224,Active,"Syed Upal Bakth, Managing Director","137/16, 2nd Colony, Mazar Road, Mirpur-1, Dhaka","137/16, 2nd Colony, Mazar Road, Mirpur-1, Dhaka",9001885,8017811,rainpc96@gmail.com,,"Corrugated Carton, Back Board, Neck Board, Tissue Paper.",https://www.bgapmea.org/index.php/member/member_details/613
Rufa Packaging & Printing Ltd.,426,Active,"Md. Ruhul Amin, Chairman","48/1, M. A. Roshid Road, Hossain Market, Dutto Para, Tongi-1712, Gazipur","Baniarchala, Bhabanipur, Gazipur Sadar, Gazipur",01713003122,,kazal@strimsbd.com,,"Corrugated Carton, Back Board, Neck Board, Tag, Photo Card, Poly Bag, Elastic, Twill Tape, Printing Label, Drawstring",https://www.bgapmea.org/index.php/member/member_details/655
The Best Packaging Ind. Ltd.,401,Active,"Ln. Md. Arif Mollah, Managing Director","71/3, Dakhin Para, Matuail, Jatrabari, Dhaka","71/3, Dakhin Para, Matuail, Jatrabari, Dhaka","750106, 7510609, 01913275551",,"arifmollah08@yahoo.com, arifmollah13@gmail.com",,"Corrugated Carton, Back Board, Neck Board, Tissue Paper, Hang Tag, Barcode.",https://www.bgapmea.org/index.php/member/member_details/790
Capital Label Industries Ltd.,821,Active,"Mr. Shah Jalal Uddin, Mnaging Director","South Land Centre (6th Floor), 5, Agrabad C/A, Chattogram","162, Green View R/A, Road No-3/B, Port Connecting Road, Pahartoli, Ctg.",031-2512065,031-2512066,jspoly@bbts.net,,"Oven Label, Elastic, Non-Elastic Band.",https://www.bgapmea.org/index.php/member/member_details/123
4 Point International Ltd.,1911,Active,"Mohammad Sadman, Managing Director","2861, FIDC Road, Chandgaon, Chattogram","2861, FIDC Road, Chandgaon, Chattogram",01675921995,,4pointinternational@gmail.com,,"Elastic, Drawstring, Draw Cord, Metal Draw Cord, Plastic tipping",https://www.bgapmea.org/index.php/member/member_details/1542
Sas Packaging Industries,1127,Active,"Sk. Sabir Ahmed, CEO","House : 11, Road : 12 Sector : 9, Uttara, Dhaka.","Zirabo, Ashulia, Savar, Dhaka","01926698704, 01711623633",,saspackaging@gmail.com,,Corrugated Master Carton,https://www.bgapmea.org/index.php/member/member_details/691
K. B. Accessories,1117,Active,"Md. Kamal Uddin, Proprietor","South Solimpur, Jafrabad, Sitakunda, Chattogram","South Solimpur, Jafrabad, Sitakunda, Chattogram","01612502534, 01551636844",9894826,"kamalbd01@hotmail.com, kamal@kbaccessoriesbd.com",www.kbaccessoriesbd.com,"Sewing Thread, Elastic/Non Elastic Band, Drawstring/Drawcord.",https://www.bgapmea.org/index.php/member/member_details/351
Olympic Accessories Ltd.,721,Active,"Mr. Md. Golam Kibria, Managing Director","45, Bijoy Nagar, Sayham Sky View Tower(5th Floor), Bijoy Nagar, Dhaka-1000","Bishia Kuribari, Rajendrapur, Gazipur",8392458 Mobile: 01713013997,8392459,info@olympicaccessoriesbd.com,www.olympicaccessoriesbd.com,"Corrugated Carton, Back Board, Neck Board, Hang Tag, Price Tag, Size Tag, Photo in lay, Tissue Paper, Elastic/Non Elastic Band, Hanger, Sewing Thread, Label Printing, Interlining, Gum Tape.",https://www.bgapmea.org/index.php/member/member_details/513
Unlimited Exim,1768,Active,"Nur Khair Bhuiyan Jony, Proprietor","97/1/7-Kha, Uttar Bishil, Mirpur-1, Dhaka-1216","97/1/7-Kha, Uttar Bishil, Mirpur-1, Dhaka-1216",01819229597,,unlimitedexim@gmail.com,,"PP poly bag, PE Poly bag, BOPP/OPP, Poly bag, Gum tape, Muskin tape, PVC Tape, Paper Adhesive tape",https://www.bgapmea.org/index.php/member/member_details/1408
Faiza Button & Zipper Ltd.,229,Active,"Md. Jahangir Kabir, Managing Director","Fiz Tower, Plot # 12, Road # 1, Section # 7, Mirpur I/A, Dhaka-1216","Munno Nagar, 219/1, Pagar, Tongi, Gazipur","9000450, 01711561198",9014215,"md@fizbd.com, info@fizbd.com",,"Zipper, Button",https://www.bgapmea.org/index.php/member/member_details/23
R G Enterprise,1629,Active,"Ratan Kumar Saha , Proprietor","Prime Bank Building (2nd Floor) 53/1, S.M Maleh Road, Tanbazar, Narayangonj","Shagordi, Chinbalapur, Narsingdi Sadar, Narsingdi","7646840, 01718791951",7646840,rg.combd@gmail.com,,"PP, LLDP, HDP, Carton Box, Back Board, Neck Board, Photocard, Duplex Board.",https://www.bgapmea.org/index.php/member/member_details/1286
BN Printing & Packaging (Pvt.) Ltd.,1586,Active,"Zahirul Islam (Bablu) , Managing Director","193/2, Sidique Mansion, Fokirapool, Motijheel, Dhaka-1000.","115/80, Matuail Kabarestan Road, Demra, Dhaka","01746981847, 01660099613",,zahirul.islam.bablu@gamil.com,,"Polybag, Neck Board, Gum Tape, Photo Card, Hang Tag, Boxlet, Price Tag etc.",https://www.bgapmea.org/index.php/member/member_details/1216
Baraka Ventures,2070,Active,"Md. Didarul Islam, Proprietor","27/11/3-C, Hasan Bhaban (2nd floor), Topkhana Road, Dhaka-1000","Paragaon, Bhulta, Rupganj, Narayanganj",01819321171,,barakaventures1174@gmail.com,,"Master Carton, Inner Box, Photo Inlay, Back Board, Hang Tag, Gum Tape, Hanger, Poly Bag, Paper Sticker",https://www.bgapmea.org/index.php/member/member_details/1705
Pantax Accessories (Pvt.) Ltd.,680,Active,"Mr. Mohammed Anwarul Alam, Director","House # 09, Road # 03, Sector # 6, Uttara, Dhaka","Plot # C5-576, Mohona, Bhabanipur, Banierchala, Mirzapur, Gazipur","8953124-5, 01777788940, 01819250995",8953132,"pantaxacc@dhaka.net, pantaxanwar@gmail.com",,"Corrugated Carton, Back Board, Neck Board, Tissue Paper, Printed Poly Bag/BOPP Bag.",https://www.bgapmea.org/index.php/member/member_details/546
S. Ali Weaving Factory Ltd.,710,Active,"Md. Sukkur Ali, Managing Director","Plot # 931, Mahona, Golakandi, Rupgonj, Narayanganj","Plot # 931, Mahona, Golakandi, Rupgonj, Narayanganj",017150401021,9564260,saliweaving@gmail.com,,"Belt, Velcro Tape, Slipper, Poly Bag",https://www.bgapmea.org/index.php/member/member_details/665
Bibidha Banijja Shangstha,391,Active,"Md. Mojibur Rahman, Proprietor","31/B, Malibagh Chowdhury Para, Khilgaon, Dhaka","Zirabo, Ashulia, Savar, Dhaka","9345108, 9344201, 9330043, 8354820, 01711522933",8355240,"anisltd@yahoo.com, anisltd@gmail.com",,"Poly Bag, Care Label, Hang Tag, Photocard, Back Board, Neck Board, Tissue Paper, Sewing Thread, elastic, Non Elastic Band.",https://www.bgapmea.org/index.php/member/member_details/105
Baly Plastic Industries Limited,1296,Active,"Md. Moniruzzaman, Managing Director","A.H. Tower (11th Floor), Plot # 56, Road # 02, Sector # 03, Uttara, Dhaka.","Raj-Fullbaria, Savar, Dhaka",8931846-7,8932964,balybd@bangla.net,,"Hanger, Button, Butterfly, Plastic Clip, Interlining etc.",https://www.bgapmea.org/index.php/member/member_details/931
Lucrative Garments Accessories Solution,1540,Active,"Md. Sohedul Islam , Proprietor","423, Dhali Bari Kacha Bazar, New Apollo Hospital Road, Bashundhara, Vatara, Gulshan-2, Dhaka-1212","423, Dhali Bari Kacha Bazar, New Apollo Hospital Road, Bashundhara, Vatara, Gulshan-2, Dhaka-1212.",88 01717 00818588 01717 008185,,E-mail: sohedul@lucrativebd.com,,"Hanger, Price Taq, Barcode, Photo inlay Card, Insert Card, Care Label, Barcode Labe ,Side Label, COO Label, Cartoon Barcode Sticker, Hanger Sticker, Price Sticker, Hanger Sticker, Price Sticker, Carton Sticker, Display box, Gift Box, Main Label, Back Boar",https://www.bgapmea.org/index.php/member/member_details/1173
Printing Pro Design (Pvt.) Ltd.,1018,Active,"Md. Saiful Islam, Managing Director","755, Askarabad (2nd Floor), D.T. Road, Monsurabad, Chattogram.","755, Askarabad (2nd Floor), D.T. Road, Monsurabad, Chattogram.","031-2514921, 01711318120",,printingproctg@gmail.com,,"Elastic/Non-Elastic Band, Twill Tape, Skin Printing etc.",https://www.bgapmea.org/index.php/member/member_details/586
SSN Printing & Packaging,2025,Active,"Md. Sirajul Islam, Proprietor","Road # 06, Lane-3, Plot NO. 4, 5, Block-B, Halishahar, Chattogram","Road # 06, Lane-3, Plot NO. 4, 5, Block-B, Halishahar, Chattogram",01715978169,,ssn8169@gmail.com,,"Corrugated Paper Carton, Duplex Board, Art-Card etc. printing",https://www.bgapmea.org/index.php/member/member_details/1742
Rahman Elastic Industries,1525,Active,"Shamsur Rahman , Proprietor","25, Chittaranjon Avenue, Kasko Market (1st floor), Sadarghar, Dhaka-1100.","House # 29, Word # 07 Block-B, Mominbag, Sahi Moszid Road, Konapara, Jatrabari, Dhaka","01713012263, 01675142124, 88029584560",,ms.bbtc@gmail.com,,"Elastic, Non Elastic Band, Lace, Belt, Velcro Tape",https://www.bgapmea.org/index.php/member/member_details/1159
J. S. Accessories Ltd.,766,Active,"Md. Shahidul Islam Chowdhury, Managing Director","B.S. Khatian No. 2691, Dag No. 9081-9082, Ward No. 08, Banur Bazar, Bhatiary, Sitakunda, Chattogram","B.S. Khatian No. 2691, Dag No. 9081-9082, Ward No. 08, Banur Bazar, Bhatiary, Sitakunda, Chattogram","031-2859698, 01819382028",,shahidulislam23@gmail.com,,"Printed Poly Bag, Back Board, Neck Board, Hang Tag, Price Tag, Size Tag, Photo in lay, Tissue Paper.",https://www.bgapmea.org/index.php/member/member_details/324
M M Associates,1862,Active,"K. M. Manjilur Rahman, Proprietor","Samir (Tek Para), Birulia, Savar, Dhaka","Samir, Birulia, Savar, Dhaka",01712626584,,mm_associates08@yahoo.com,,"Printing & Publishing, Lamination, Scan Printing, Other packaging, Back Board/Neck Board",https://www.bgapmea.org/index.php/member/member_details/1499
Toneme Lon Non-Woven Tech. (BD) Ltd.,1873,Active,"Mr. Mostak Ahamed, Managing Director","Gazir Chatt, Bypile, Ashulia, Savar, Dhaka-1349","Gazir Chatt, Bypile, Ashulia, Savar, Dhaka-1349",01786000042,,"mostak0184@gmail.com, tonemelon01@gmail.com",,"100% Polyester Padding/Wadding, Fake Down/Crash Padding, Quilting (Stitching)",https://www.bgapmea.org/index.php/member/member_details/1508
Dynamic Garments Accessories Indstries Ltd.,1248,Active,"Md. Washim Madber, Managing Director","98/2-Vista Garden (6th floor), Senpara, Parbata, Mirpur-10, Dhaka-1216","Yearpur, Zirabo, Ashulia, Dhaka-1341","01712163428, 01635247828",9011821,wadud1977@gmail.com,www.dgailbd.com,"Back Board, Neck Board, Collar Insert, Butter Fly, Interlining.",https://www.bgapmea.org/index.php/member/member_details/932
Advance Flexopack Industries,416,Active,"Md. Anwar Hossain, Proprietor","Section-11, Block-A, Road-8, Lane-2 House-7, Mirpur, Dhaka","Shiarchar, Fatullah, Narayangonj.",01711537851,9009302,info@advancegroupbd.com,,"Poly Bag, Bopp Bag, Plaric Hanger.",https://www.bgapmea.org/index.php/member/member_details/28
Royal Accessories & Packaging,1876,Active,"Md. Faizul Gani, Managing Partner","1397/2184, Haji Para Road, Haji Para, Bayzid, Chattogram","1397/2184, Haji Para Road, Haji Para, Bayzid, Chattogram","01711326011, 01816637450, 01682220247",,"royalaccpack@gmail.com, faizulgani@gmail.com",,"Elastic/Non Elastic Band, Twill Tape, Belt, Lace, Drawstring, Draw cord, Sewing Thread etc.",https://www.bgapmea.org/index.php/member/member_details/1511
Yokohama Labels & Printing (BD) Co. Ltd.,1609,Active,"Mohammad Iqbal Hossain, Executive Managing Director","Plot # 105-106, AEPZ, Adamjeenagar, Siddirganj, Narayanganj","Plot # 105-106, AEPZ, Adamjeenagar, Siddirganj, Narayanganj",7691411-13,7691414,info@yokohamabd.com,www.yokohamabd.com,"Label, Tags & other Accessories",https://www.bgapmea.org/index.php/member/member_details/1240
Atandra Graphic Private Ltd.,760,Active,"M. Enamul Haq, Managing Director","House # 33, Road # 3, Sector # 5, Uttara, Dhaka","Baniarchala (Member Bari) Vabanipur, Gazipur Sadar, Gazipur","02241091281-3, 01819218723, 01819223993",,atandra.com@gmail.com,,"Poly Bag, Button, Price Label, Hang Tag etc.",https://www.bgapmea.org/index.php/member/member_details/79
Fair Poly Pack Limited,1164,Active,"Professor M. M. Quader Chowdhury, Managing Director","Plot # S-52, BSCIC I/E, Kalurghat, Chattogram-4212","Plot # S-52, BSCIC I/E, Kalurghat, Chattogram-4212",031-2573145,,,,"Printed Poly Bag, BOPP Bag.",https://www.bgapmea.org/index.php/member/member_details/226
Graphics Accessories Ltd.,1743,Active,"Saiful Hoque Bhuiyan, Chairman","House # 40, Road # 20, New DOHS, Mohakhali, Dhaka-1206","Nalam, Mirzanagar, Ashulia, Dhaka","8816390, 8828593, 8857135, 01713013536",8814630,"amanknit@gnbd.net, saif@amanknittings.com",,Garments Accessories,https://www.bgapmea.org/index.php/member/member_details/1382
Murano Tex,1011,Active,"Md. Khurshed Hasan, Managing Partner","Jamirdia, Ward No- 04, Habirbari, Valuka, Mymensingh","Jamirdia, Ward No- 04, Habirbari, Valuka, Mymensingh","01750-152509, 01713-013639",8952652,muranotex@gmail.com,,"Corrugated Carton, Printed Poly Bag.",https://www.bgapmea.org/index.php/member/member_details/470
Techno Printing & Packaging Ltd.,1347,Active,"Md. Mizanur Rahman, Managing Director","1 No. Sontek, Donia, Jatrabari, Dhaka","1 No. Sontek, Donia, Jatrabari, Dhaka",01712815091,,info@technopltd.com,,"Back Board, Neck Board,Collar Bond, Bar Code, Hang Tag etc.",https://www.bgapmea.org/index.php/member/member_details/982
Swiss Tex Ltd.,305,Active,"Mr. Shibbir Mahmud, Managing Director","House # 56, Level: 5-7, Road #11, Block: F, Banani, Dhaka-1213.","43 Dhakhin Shaympur, Hemayetpur, Savar, Dhaka-1340.","Tel: 55042335-8, Cell: 01711533470",8113094,"stl@swisstexgroup.com, info@swisstexgroup.com",,"Woven label, Cos tape, Printed Label, Elastic, Photo Inlay, Hangtag, Price Tag, Back Board, Neck Board etc.",https://www.bgapmea.org/index.php/member/member_details/774
Alpha Accessories & Agro Export Ltd.,1518,Active,"Mr. Md. Arzan Ali , Managing Director","Nowapara (Katakhali), Fakirhat, Bagerhat.","Khulna-Mongla Road, Nowapara(Katakhali), Fakirhat, Bagerhat","01713425076, 88 0466356120",88 04663 56012,alphaagroig@gmail.com,,Printing & Packaging,https://www.bgapmea.org/index.php/member/member_details/1152
Mother Manufacturing Ind. Ltd.,1711,Active,"Mohammad Bakhtiar, Managing Director","46/A, Purana Palton (3rd fl), Dhaka-1000","F/484, Dakkhin Jalkuri, Siddirgonj, Narayanganj","01713229704, 01613229704",,"mother.mil786@gmail.com, bakhtiar.sarab@gmail.com",,"Back Board, Neck Board, Paper Back, Laminated Photocard, Photo inlay, Hangtag, Barcode, Sizetag, Poly bag, BOPP Poly, Hanger, Interlining, Sewing Thread, PVC Box, Coller Insert, Butterfly, Gumtape, Mobilin tape, Printed label, Catalogue book etc.",https://www.bgapmea.org/index.php/member/member_details/1345
Kamal Patowary Accessories Ltd.,699,Active,"Mr. Md. Kamal Uddin Patowary, Managing Director","Holding-153, Road-1, Block-A, Kumkumary, Ashulia, Savar, Dhaka.","Holding-153, Road-1, Block-A, Kumkumary, Ashulia, Savar, Dhaka.","Tel: 77429796,Cell: 01727259770, 01711522773",8115952,kpaccessories@gmail.com,,"Elastic, Twill Tape, Drawstring, Drawcord, Sewing Thread, Tissue Paper, Back Board, Hanger.",https://www.bgapmea.org/index.php/member/member_details/358
National Accessories Ltd.,481,Active,"Md. Saiful Hoque, Managing Director","Atlas Rangs Plaza (6th floor), 7, Shekh Mujib Road, Agrabad C/A, Chattogram","214, (Eastern Part), Baizid Bostami Road, Chattogram-4210","+88-02333311019-21, 725455, 723599",+88-031-02333310013,"info@cncgroupbd.com,",www.cncgroupbd.com,Zipper.,https://www.bgapmea.org/index.php/member/member_details/478
Racy Fashion & Packaging Ind. Ltd.,1791,Active,"K. M. Nurul Afser, Managing Director","House # 08, Road # 02, Nikunja-02, Khiljhet, Dhaka-1229","57/5, Dakkhin Khan, Dhirasram Road, Gazipur City, Gazipur","01711529169, 01919529169",,faruque_racy@yahoo.com,,"Poly Propylene, Polythylene Garments Bag, Offset printing & Multi color label, Sticker, All kinds of Garments Accessories.",https://www.bgapmea.org/index.php/member/member_details/1431
Mainetti Packaging Bangladesh (Pvt.) Ltd.,1578,Active,"Sundeep Chauhan, Managing Director","Vatarkhola, Naogaon Bazar-1800, Dhamrai, Dhaka","Vatarkhola, Naogaon Bazar-1800, Dhamrai, Dhaka",01844508988,,"sundeep.chauhan@mainetti.com, Nasir.uddin@mainetti.com",www.mainetti.com,"Poly Bag, Plastic Hanger, Paper Band, Care Label, Size Label, Barcode Label",https://www.bgapmea.org/index.php/member/member_details/1209
Super Packaging,832,Active,"Mohammad Arif, Proprietor","54/4, Chandmeah Lane, Asadgonj, Chattogram-4000.","2403 No. East Bakalia, Abdul Latif Hat, Bakalia, Chattogram-4000.","031-638977, 634463, 01711-747283",,anandaep@yahoo.com,,"Corrugated Carton, Back Board, Neck Board, Tissue Paper.",https://www.bgapmea.org/index.php/member/member_details/768
Simtex Industries Limited.,1253,Active,"Neaz Rahman Shaqib, Managing Director","Khagan, Birulia (Ashulia), Savar, Dhaka-1341.","Khagan, Birulia (Ashulia), Savar, Dhaka-1341.","7748107-9, Mobile: 01919612345",8962462,"info@simtexgroup.com, md@simtexgroup.com",www.simtexgroup.com,Dyeing Sewing Thread & Cooning,https://www.bgapmea.org/index.php/member/member_details/891
Get World Attire Trims Ltd.,1688,Active,"Syed Md. Liton, Managing Director","Holding No. 20/1, Ward No. 40, Block-B, Megdubi (Koroitek Road, Pubail. Gazipur","Holding No. 20/1, Ward No. 40, Block-B, Megdubi (Koroitek Road, Pubail. Gazipur","01972770705, 01972770704",,"admin@getworldattire.com, liton@getworldattire.com, shohel@getworldattire.com",www.getworldattire.com,"Elastic, Non-Elastic, Belt, Twill tape etc.",https://www.bgapmea.org/index.php/member/member_details/1307
TaeHung Packaging (Bangladesh) Ltd.,107,Active,"Bo-Sun Park, Managing Director.","Teen Sarak, Joydebpur (Chandana), Gazipur-1700","Teen Sarak, Joydebpur (Chandana), Gazipur-1700","9261224, 9262151, 9257068, 9257069, 01713039782",9262376,info@taehungbd.com,,Corrugated Carton Board & Carton Box,https://www.bgapmea.org/index.php/member/member_details/779
Eco Healing Accessories Ltd.,1942,Active,"Md. Saidus Saklain, Managing Director","House # 20, Lane # 19, Block # A, Section # 10, Mirpur, Dhaka-1216","Plot # 1074, Aragaon, Bashaid, Ashulia-1341, Savar, Dhaka",01717623247,,ecohealing.acc@gmail.com,,"Poly bag, Label, Elastic, Sticker, Sewing Thread, Tag1942",https://www.bgapmea.org/index.php/member/member_details/1578
Yea Fashion & Accessories,2031,Active,"Ruhul Amin, Proprietor","House No. 1, Road No. 2/2, Block-N, Eastern Housing, Pallobi, Mirpur, Dhaka-1216","House No. 1, Road No. 2/2, Block-N, Eastern Housing, Pallobi, Mirpur, Dhaka-1216","01718014633, 01643910933",,"yeafashion16@gmail.com, ruhulamin.mirpur@gmail.com",,"Elastic, Drawstring, Twill Tape",https://www.bgapmea.org/index.php/member/member_details/1660
Global Trims Industries Ltd.,541,Active,"Md. Rokonuzzaman, Managing Director","Plot # 24, Road # 3, (Main Road), Block-A, Section-11, Mirpur, Dhaka-1216","Holding # 2161, Jaimot Khan Road, Pagar, Tongi, Gazipur",01775847600,9020872,deshbd.ltd@gmail.com,www.global-trims.com,"Back Board, Poly Bag, Sewing Thread, Hanger, Elastic, Gum Tape, Tissue, Twill Tape, PVC Box, Paper Box",https://www.bgapmea.org/index.php/member/member_details/256
Boxes Corporation,1013,Active,"Mr. Awlad Hossain Chowdhury, Proprietor","25/6, Pallabi, Mirpur – 12, Dhaka-1216.","25/6, Pallabi, Mirpur – 12, Dhaka-1216.",9009913,9010888,boxesbd@gmail.com,boxesbd@gmail.com,Printed Poly Bag.,https://www.bgapmea.org/index.php/member/member_details/112
Jass Accessories (BD) Ltd.,1143,Active,"Md. Abdul Wazed, Managing Director","590, Colonel Jones Road, North Kattali, Pahartali Chattogram.","590, Colonel Jones Road, North Kattali, Pahartali Chattogram.","031-2773817, 01707391409",,jassctg1975@gmail.com,,Poly Bag,https://www.bgapmea.org/index.php/member/member_details/336
Auto Industries Ltd.,1866,Active,"Md. Shahidul Islam Bhuyan, Managing Director","House # 03, Road # 08, Block-D, Vatulia, Turag, Dhaka-1230","House # 03, Road # 08, Block-D, Vatulia, Turag, Dhaka-1230","01717486145, 01822890864",,nrbdltd@gmail.com,www.autoindustriesltd.com,"Self Adheshive Sticker, Ink, Thermal Transfer Ribbon, Auto Carton Box, Label, RFID Cheeps, PVC Bag, Sheet, 3 Layer Foil, Yarn/Thread, Gum Tape, Fabric",https://www.bgapmea.org/index.php/member/member_details/1502
Advanced Carton Industries Ltd.,945,Active,"Mr. A. K. M. Nuruzzaman, Chairman","House # 02 (4th floor), Road # 13/B, Sector # 10, Uttara Model Town, Dhaka-1230","Dhaladia, Rajabari, Sreepur, Gazipur","01824569569, 01711149327",,info@cosmolabel.com,www.cosmogroupbd.com,"Corrugated Carton, Back board, Neck Board, Collar Bone, Bar Code, Hang Tag, Size Tag, Tissue Paper, Printed Label.",https://www.bgapmea.org/index.php/member/member_details/29
